no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
5678;72;12;PT. STARDUST ESTATE INVESTMENT (#143);DESA BUNGINTIMBE, DESA BUNTA, DESA TANAUGE, KECAMATAN PETASIA DAN PETASIA TIMUR, KABUPATEN MOROWALI UTARA, PROVINSI SULAWESI TENGAH;;;;;Kawasan Industri
5679;72;12;PT ENAM SEMBILAN KAWASAN INDUSTRI (#165);JALAN WOLTER MONGINSIDI, NO. 07, RT. 02, RW. 01;;;;;Kawasan Industri
5680;72;71;PT. PUTRA BARUS RAYA;KAWASAN EKONOMI KHUSUS PALU;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5681;72;71;PT. SARANA BAKTI TIMUR;KAWASAN KEK;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5682;72;71;ASBUTON JAYA ABADI;KAWASAN EKONOMI KHUSUS PALU;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5683;72;71;GANESHA GLOBAL IMPEX;KAWASAN EKONOMI KHUSUS PALU JALAN POROS PALU-PANTOLOAN KM 23 012/006;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5684;72;71;HONG THAI INTERNATIONAL;KAWASAN EKONOMI KHUSUS PALU, JALAN POROS PALU PANTOLOAN KM 23 012/05;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5685;72;71;MARTAWAN GROUP INTERNASIONAL;MENARA RAJAWALI LEVEL 7-1, JALAN DR. IDE ANAK AGUNG GDE AGUNG LOT 5.1, KAWASAN MEGA KUNINGAN 000/000;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5686;72;71;PT. BANGUN PALU SULAWESI TENGAH;JL. POROS PALU PANTOLOAN KM.23 KEL. BAIYA, KEC. TAWAELI, KOTA PALU;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5687;72;71;SANTOSA UTAMA LESTARI;JL. MT. HARYONO KAV. 16, WISMA MILLENIA LT 4 010/005;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5688;72;71;SULA SILVER EXIM;KAWASAN EKONOMI KHUSUS PALU JALAN POROS PALU-PANTOLOAN KM 23 012/006;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5689;72;71;SULAWESI CENTRAL COMMODITY;Jl. Raya Boboh No.94, Boboh, Kec. Menganti, Kabupaten Gresik, Jawa Timur 61174;3525;[25] GRESIK;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5690;72;71;SULAWESI GLOBAL COMODITY;;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5691;72;71;TRANS CONTINENT;KAWASAN EKONOMI KHUSUS PALU;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5692;72;71;VICTORY INDO ABADI;KAWASAN EKONOMI KHUSUS PALU, JL. TOLAMBU, DESA/KELURAHAN BAIYA, KEC. TAWAELI, KOTA PALU, PROVINSI SULAWESI TENGAH;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5693;72;71;WANHONG NONFERROUS RECYCLING UTILIZATION;JL. POROS PALU - PANTOLOAN, KM 23, KEK PALU 000/000;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5694;72;71;WIJAYA MITRA ADIATAMA;KEK (KAWASAN EKONOMI KHUSUS) 001/001;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5695;72;71;SAUDARA INDOJAYA PALU;UWE VUKU BAIYA;7271;[71] PALU;Kawasan Ekonomi Khusus;Palu;Kawasan Ekonomi Khusus
5696;72;71;SULAWESI GLOBAL COMODITY;KEK PALU KAWASAN EKONOMI KHUSUS RT 012 RW 006 DESA/KEL. BAIYA KEC. TAWAELI;;;;;Kawasan Industri
